iter	Passed	Remaining
894	52564	64898
895	52632	64850
896	52703	64806
897	52797	64792
898	52881	64763
899	52956	64724
900	53033	64687
901	53154	64704
902	53257	64698
903	53326	64652
904	53382	64590
905	53448	64538
906	53520	64495
907	53580	64437
908	53656	64399
909	53737	64366
910	53806	64319
911	53866	64262
912	53937	64216
913	54001	64163
914	54085	64133
915	54206	64148
916	54324	64158
917	54486	64220
918	54557	64174
919	54625	64125
920	54706	64091
921	54771	64038
922	54844	63994
923	54913	63947
924	54975	63889
925	55082	63885
926	55179	63869
927	55283	63862
928	55413	63883
929	55515	63872
930	55624	63869
931	55713	63843
932	55818	63834
933	55911	63813
934	55995	63781
935	56098	63769
936	56186	63742
937	56281	63721
938	56394	63721
939	56496	63708
940	56576	63670
941	56677	63656
942	56765	63627
943	56836	63579
944	56920	63545
945	56985	63490
946	57059	63446
947	57138	63406
948	57216	63366
949	57294	63325
950	57377	63290
951	57463	63258
952	57545	63221
953	57611	63167
954	57683	63119
955	57742	63057
956	57808	63003
957	57874	62948
958	57949	62904
959	58030	62866
960	58097	62812
961	58177	62773
962	58242	62717
963	58300	62654
964	58379	62614
965	58460	62575
966	58525	62520
967	58597	62472
968	58675	62429
969	58748	62382
970	58824	62337
971	58896	62290
972	58981	62254
973	59082	62236
974	59178	62213
975	59245	62158
976	59324	62117
977	59396	62069
978	59465	62016
979	59542	61972
980	59609	61918
981	59674	61861
982	59739	61805
983	59821	61766
984	60065	61895
985	60140	61848
986	60224	61811
987	60299	61764
988	60363	61706
989	60442	61663
990	60511	61610
991	60579	61556
992	60647	61502
993	60715	61448
994	60778	61389
995	60844	61332
996	60912	61278
997	60989	61234
998	61081	61204
999	61169	61169
1000	61273	61150
1001	61375	61130
1002	61477	61109
1003	61624	61133
1004	61730	61115
1005	61840	61102
1006	61992	61130
1007	62098	61113
1008	62223	61113
1009	62315	61081
1010	62430	61071
1011	62534	61051
1012	62677	61068
1013	62797	61063
1014	62931	61071
1015	63131	61142
1016	63221	61108
1017	63300	61061
1018	63370	61007
1019	63442	60954
1020	63522	60909
1021	63594	60856
1022	63730	60864
1023	63811	60819
1024	63903	60785
1025	63977	60734
1026	64053	60685
1027	64129	60635
1028	64372	60743
1029	64461	60706
1030	64526	60645
1031	64610	60604
1032	64671	60539
1033	64752	60494
1034	64836	60451
1035	64927	60415
1036	65002	60364
1037	65077	60312
1038	65144	60253
1039	65207	60191
1040	65272	60131
1041	65333	60066
1042	65396	60004
1043	65473	59954
1044	65545	59900
1045	65607	59837
1046	65699	59800
1047	65773	59748
1048	65852	59700
1049	65925	59646
1050	65999	59594
1051	66064	59533
1052	66131	59474
1053	66189	59407
1054	66255	59347
1055	66320	59286
1056	66388	59228
1057	66449	59163
1058	66524	59112
1059	66580	59043
1060	66652	58988
1061	66715	58926
1062	66788	58872
1063	66853	58811
1064	66935	58765
1065	66991	58696
1066	67107	58680
1067	67189	58633
1068	67271	58587
1069	67348	58536
1070	67410	58472
1071	67470	58407
1072	67531	58342
